ID,Type,SKU,Name,Published,Is featured?,Visibility in catalogue,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Meta: inline_featured_image,Meta: edition_group,Meta: _edition_group,Meta: edition_id,Meta: _edition_id,Meta: artist_name,Meta: _artist_name,Meta: _yoast_wpseo_primary_product_cat,Meta: _yoast_wpseo_content_score,Meta: edition_subtitle,Meta: _edition_subtitle,Meta: author,Meta: _author,Meta: sub-header,Meta: _sub-header,Meta: header_image,Meta: _header_image,,ID2,Name2,Short description2,Tax status2,Tax class2,In stock?2,Stock2,Weight (kg)2,Length (cm)2,Width (cm)2,Height (cm)2,Regular price2,Shipping class2,Group2,Number2,Edition2,Subtitle2
575,simple,,Leipzig,1,0,visible,"Brian Clarke
Leipzig
2017
Stained glass in wooden frame
204 x 252 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/G2-11.png,,,,,,,,,0,0,275,field_5accc8de1bcea,G2-11,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,575,Summer Solstice Spitfires,"Brian Clarke, Summer Solstice Spitfires, 2016, Stained glass, 80 x 80 cm",taxable,,1,,,,,,,,G,1-63,G1-63,Brian Clarke
577,simple,,Hamburg,1,0,visible,"Brian Clarke
Hamburg
2017
Stained glass in wooden frame
204 x 252 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/G2-12.png,,,,,,,,,0,0,275,field_5accc8de1bcea,G2-12,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,577,Summer Solstice Spitfires,"Brian Clarke, Summer Solstice Spitfires, 2016, Stained glass, 80 x 80 cm",taxable,,1,,,,,,,,G,1-64,G1-64,Brian Clarke
579,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/68-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-68,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,579,Summer Solstice Spitfires,"Brian Clarke, Summer Solstice Spitfires, 2016, Stained glass, 80 x 80 cm",taxable,,1,,,,,,,,G,1-65,G1-65,Brian Clarke
581,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/66-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-66,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,581,Summer Solstice Spitfires,"Brian Clarke, Summer Solstice Spitfires, 2016, Stained glass, 80 x 80 cm",taxable,,1,,,,,,,,G,1-66,G1-66,Brian Clarke
583,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/50-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-50,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,583,Summer Solstice Spitfires,"Brian Clarke, Summer Solstice Spitfires, 2016, Stained glass, 80 x 80 cm",taxable,,1,,,,,,,,G,1-67,G1-67,Brian Clarke
585,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/57-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-57,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,585,Summer Solstice Spitfires,"Brian Clarke, Summer Solstice Spitfires, 2016, Stained glass, 80 x 80 cm",taxable,,1,,,,,,,,G,1-68,G1-68,Brian Clarke
587,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/51-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-51,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,587,Summer Solstice Spitfires,"Brian Clarke, Summer Solstice Spitfires, 2016, Stained glass, 80 x 80 cm",taxable,,1,,,,,,,,G,1-69,G1-69,Brian Clarke
589,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/52-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-52,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,589,Summer Solstice Spitfires,"Brian Clarke, Summer Solstice Spitfires, 2016, Stained glass, 80 x 80 cm",taxable,,1,,,,,,,,G,1-70,G1-70,Brian Clarke
591,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/53-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-53,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,591,Seville,"Brian Clarke, Seville, 2016, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-1,G2-1,Brian Clarke
593,simple,,Summer Solstice Spitfires,1,0,visible,"Brian Clarke
Summer Solstice Spitfires
2016
Stained glass
80 x 80 cm",,,,taxable,,1,,0,0,,,,,0,,,,"Uncategorized, Editions",,,http://henieditions.com/wp-content/uploads/sites/4/2018/04/54-of-70.jpg,,,,,,,,,0,0,275,field_5accc8de1bcea,G1-54,field_5accc92598d38,297,field_5acdc5e88a8f6,,30,Brian Clarke,field_5acf3a83909bb,,field_5ad5d2bd71f84,,field_5ad5d2c971f85,,field_5ad897325c2ef,,593,Miami,"Brian Clarke, Miami, 2016, Stained glass in wooden frame, 204 x 252 cm",taxable,,1,,,,,,,,G,2-2,G2-2,Brian Clarke
